RollNo.,CS201,CS291,CS301,CS302,CS303,CS391,CS392,CS393,M(CS)401,CS401,CS402,CS403,M(CS)491,CS491,CS492,CS493,CS501,CS502,CS503,CS504D,CS591,CS592,CS593,CS594D,CS601,CS602,CS603,CS604A/ CS604B,CS605A,CS691,CS692,CS693,CS681
10900113035,6,9,5,6,4,9,8,8,6,5,5,5,8,9,10,8,5,5,7,4,8,7,8,7,7,6,6,4,6,8,9,6,6
10900113036,9,10,6,9,7,9,9,9,8,9,9,7,9,9,10,10,7,8,9,9,10,9,8,10,8,7,8,5,10,10,9,10,9
10900113037,7,8,4,6,6,9,8,7,6,4,6,5,7,9,9,7,5,5,6,6,7,8,9,8,8,5,5,3,4,7,7,4,8
10900113038,7,9,7,9,7,9,10,10,8,7,9,7,9,9,9,10,8,8,7,9,10,10,9,10,8,6,7,6,10,10,10,10,9
10900113039,8,10,7,9,7,9,8,9,8,8,8,7,9,9,9,10,9,8,9,8,10,10,8,10,8,8,8,6,9,10,9,10,10
10900113040,8,9,8,8,7,9,8,9,8,7,9,8,10,9,9,10,8,8,7,9,9,10,9,10,8,7,8,5,9,10,8,9,10
10900113041,9,9,6,7,5,8,9,8,7,7,8,6,10,9,9,10,7,7,7,8,9,10,9,10,8,6,8,4,8,9,8,10,10
10900113042,6,9,6,7,5,9,7,8,6,6,8,6,8,9,9,8,6,7,5,6,8,8,8,8,8,6,7,5,7,8,8,8,8
10900113043,8,9,7,9,7,9,9,8,9,7,9,7,9,8,10,8,9,8,8,8,8,9,10,9,8,7,8,5,8,9,8,10,9
10900113044,6,8,4,6,4,8,7,6,5,4,6,6,7,8,8,7,6,6,6,4,7,7,8,6,6,4,5,4,5,7,7,7,7
10900113045,8,8,6,8,4,9,8,8,7,5,7,6,7,8,8,7,8,7,6,7,7,7,8,7,6,5,7,4,6,7,7,7,7
10900113046,7,9,5,7,5,8,7,8,5,7,7,5,8,8,9,7,7,7,7,6,7,8,8,7,7,6,7,4,6,7,8,10,8
10900113047,9,10,6,5,5,8,8,8,6,7,9,8,8,9,9,10,8,8,6,9,9,10,10,9,8,7,8,5,7,9,9,10,9
10900113048,8,10,7,8,6,9,10,8,8,8,9,7,10,9,10,10,8,9,6,8,9,10,9,10,8,8,8,5,9,9,10,10,9
10900113049,8,7,5,8,6,9,9,9,7,7,6,7,10,9,9,9,7,6,7,7,8,8,9,8,8,5,6,4,6,8,9,9,7
10900113050,6,9,4,6,5,7,7,7,6,7,9,6,9,8,9,8,7,6,6,7,8,8,8,7,6,6,6,4,8,8,8,9,7
10900113051,7,9,7,8,6,8,7,9,6,4,9,7,9,8,9,9,8,7,7,8,8,9,9,9,8,6,8,5,9,8,8,9,8
10900113052,4,8,4,6,4,8,8,7,5,4,6,5,7,8,8,8,7,6,6,5,8,8,8,6,7,6,6,4,7,8,7,7,8
10900113053,6,9,4,6,4,7,8,7,5,4,6,6,7,8,9,7,7,6,5,7,8,7,8,7,7,6,7,4,7,8,9,8,8
10900113054,8,10,6,9,7,9,9,10,7,5,9,8,10,8,10,10,8,7,7,9,10,10,9,10,8,6,8,4,10,10,8,10,10
10900113055,8,10,7,9,8,9,10,10,10,9,9,8,10,9,10,10,9,7,8,9,10,10,10,10,8,7,10,6,10,10,10,10,10
10900113056,6,9,6,6,6,8,7,8,5,5,6,6,7,8,8,7,6,6,7,7,8,8,9,7,7,6,7,4,8,8,8,9,8
10900113057,7,8,5,6,4,8,9,7,4,4,4,4,7,8,8,8,4,5,4,6,7,7,10,7,6,6,6,3,4,7,8,8,7
10900113058,8,10,8,9,7,8,10,10,9,7,9,8,10,8,9,10,8,9,8,8,10,10,8,10,9,8,9,5,10,10,9,10,9
10900113059,7,9,8,8,7,9,9,9,8,8,8,7,10,9,9,9,9,9,9,8,10,9,9,9,8,8,9,5,10,9,10,10,9
10900113060,5,7,5,5,4,9,7,8,6,7,6,6,8,9,9,7,7,6,7,7,8,7,9,7,7,6,7,4,6,6,8,7,7
10900113061,5,9,4,5,4,8,8,8,5,5,5,5,7,9,8,7,5,6,7,5,7,7,9,7,5,5,4,4,5,7,8,7,8
10900113062,7,10,5,6,5,9,9,8,6,4,6,6,9,9,8,8,6,6,6,6,8,8,9,8,6,7,6,4,7,8,8,9,9
10900113063,8,9,7,7,6,9,8,8,9,7,7,7,10,9,10,8,7,8,7,7,9,8,10,9,7,7,8,6,8,8,9,10,9
10900113064,8,10,6,8,7,10,9,8,9,8,7,8,10,10,10,9,8,8,8,7,9,10,9,9,8,8,8,6,10,9,10,9,9
10900113065,7,9,5,6,5,9,8,7,7,6,5,7,8,9,8,7,7,6,7,6,9,7,9,7,6,7,7,5,8,7,8,8,8
10900113066,8,8,5,7,4,9,8,8,7,7,6,6,9,9,8,8,6,7,7,6,8,7,9,8,6,7,6,6,10,7,9,10,8
10900113067,7,10,6,6,5,9,9,9,7,8,8,8,9,10,8,9,8,7,7,7,10,10,10,9,7,6,6,6,9,9,9,10,9
10900113068,8,10,7,7,7,8,9,9,7,8,8,7,9,9,8,8,6,8,7,7,8,7,10,7,7,7,6,7,7,9,9,7,8
10900113069,8,9,8,8,8,10,10,10,9,9,9,7,10,10,10,10,8,10,8,10,10,10,10,10,8,7,9,8,10,10,10,10,9
10900113070,7,8,5,6,5,9,9,7,6,6,7,6,9,9,8,7,7,7,7,7,8,7,9,7,7,6,6,6,8,7,8,7,8
10900113071,9,10,6,7,6,9,10,9,9,8,8,7,9,9,10,8,7,7,9,9,9,8,10,9,8,6,7,6,7,8,9,9,9
10900113072,7,10,6,8,7,9,9,9,9,8,7,6,10,9,10,8,7,8,7,8,10,10,10,10,7,7,7,6,8,9,9,10,9
10900113073,5,9,5,5,6,9,8,7,9,7,5,6,7,8,8,7,6,5,5,6,8,7,10,7,6,7,6,5,6,8,8,7,8
10900113074,5,9,5,5,4,8,8,9,6,7,6,6,8,9,8,7,7,6,4,6,8,7,9,7,7,6,5,5,4,9,9,9,8
10900113075,7,9,5,6,5,9,8,7,8,6,6,6,9,9,9,8,7,5,5,7,8,8,10,8,7,6,5,5,6,9,8,8,7
10900113076,9,9,6,7,7,9,8,9,10,9,8,7,10,10,10,9,9,7,6,9,10,10,10,10,7,8,7,7,8,9,10,10,9
10900113077,7,10,5,6,6,9,8,9,8,6,6,5,9,9,9,8,8,6,7,8,9,10,9,9,6,6,5,6,7,9,9,9,9
10900113078,5,7,4,5,4,9,7,8,6,7,5,5,8,8,9,7,5,5,7,6,8,7,10,7,6,7,5,6,6,8,8,8,8
10900113079,9,10,9,10,8,10,9,9,9,10,8,8,9,10,10,10,9,8,9,9,10,10,10,10,7,8,7,8,10,9,10,10,10
10900113080,9,9,7,9,8,10,10,10,10,8,8,8,9,9,9,10,9,8,7,9,10,10,10,10,7,7,8,7,8,9,10,10,9
10900113081,7,8,6,7,6,10,8,9,8,7,6,6,9,10,8,9,8,5,6,7,9,8,9,7,7,6,6,6,7,8,10,9,8
10900113082,6,8,4,4,4,8,7,7,5,5,5,4,7,8,8,7,5,4,5,5,7,7,9,6,5,5,5,5,5,8,8,7,7
10900113083,10,10,9,9,9,9,10,10,9,10,9,9,10,10,10,10,10,9,10,10,10,10,10,10,9,9,9,9,10,10,10,10,9
10900113084,9,8,6,7,6,9,9,9,9,3,3,3,9,9,8,10,9,7,8,7,9,10,10,10,8,8,6,6,9,10,9,10,7
10900113085,9,9,6,7,5,9,7,9,9,6,7,6,9,9,8,8,8,6,7,7,9,8,9,9,7,7,7,7,8,8,9,7,7
10900113086,7,8,7,7,7,9,8,9,7,9,7,7,9,9,9,9,9,7,7,9,10,10,10,10,7,8,7,8,8,9,10,10,8
10900113087,9,10,7,7,7,9,9,9,10,8,6,7,9,9,9,9,8,7,6,7,9,8,10,9,8,7,8,8,9,9,9,9,8
10900113088,8,8,6,8,6,8,8,9,10,8,6,6,9,9,8,9,8,8,6,8,9,8,10,8,7,7,6,7,8,8,8,9,9
10900113089,9,8,6,8,7,9,8,9,9,9,7,8,9,9,9,10,8,8,7,8,9,10,10,9,7,7,8,7,10,8,9,9,8
10900113091,8,9,7,7,6,9,8,7,8,6,5,6,8,9,9,7,7,7,6,6,9,7,9,8,7,6,7,7,8,8,8,8,8
10900113092,8,9,8,7,8,9,10,8,9,8,7,8,9,9,9,9,8,9,7,7,9,9,10,10,8,8,8,7,10,9,9,10,8
10900113093,8,9,7,8,8,9,9,9,9,8,7,7,10,8,9,8,8,9,7,7,9,9,10,10,7,7,8,8,10,9,10,9,9
10900113094,7,9,6,7,6,9,8,7,7,6,7,5,9,9,8,9,8,7,6,7,9,9,10,10,7,6,6,7,8,9,9,9,8
10900113096,9,10,4,8,6,9,9,9,7,6,6,5,9,8,9,9,7,6,6,7,9,7,10,9,7,6,5,5,6,8,8,7,9
10900113097,7,10,4,6,4,8,9,8,7,4,5,5,9,8,9,9,5,6,5,7,8,8,10,10,7,7,6,6,7,8,9,9,9
10900113099,7,7,4,8,5,9,8,9,8,5,7,6,10,9,9,8,8,6,6,8,9,8,10,8,7,7,4,7,6,8,8,7,8
10900113100,8,8,6,9,8,9,9,8,10,9,8,8,10,9,8,10,8,8,7,9,9,9,9,9,8,8,7,8,9,8,9,9,9
10900113101,9,8,7,8,7,8,9,9,9,8,7,7,10,9,10,10,9,9,8,8,10,8,10,10,8,9,7,8,10,9,10,10,10
10900113102,8,9,7,7,8,9,9,9,9,9,7,6,10,9,9,9,9,10,7,9,10,9,10,10,8,9,7,9,10,10,10,10,10
10900113103,9,9,6,7,6,7,8,7,9,5,6,6,8,9,9,9,7,5,7,7,9,7,9,8,5,5,5,7,7,8,9,7,7
10900113104,9,10,5,6,6,8,8,8,7,6,4,5,7,8,8,9,6,6,6,8,9,7,9,8,7,6,5,5,6,7,7,6,8
10900113105,10,10,6,6,7,9,8,8,9,9,7,6,8,8,9,8,7,6,7,8,9,8,10,9,7,7,6,8,7,8,10,9,9
10900113106,10,10,6,7,6,9,9,9,9,6,7,7,8,9,9,9,7,6,8,9,10,8,8,9,8,7,7,8,9,8,9,9,9
10900113107,5,6,4,4,4,6,7,7,4,4,4,4,7,8,8,7,4,4,4,5,6,7,8,6,4,4,4,4,4,7,7,6,6
10900113108,10,9,7,8,8,9,10,10,10,9,8,7,9,10,10,10,8,7,8,9,10,10,10,10,8,7,8,9,9,10,10,10,9
10900113109,9,9,6,9,7,8,10,9,10,9,7,8,9,9,9,10,8,6,7,9,10,10,9,9,8,9,8,9,10,10,10,10,7
10900113110,9,10,6,9,7,9,10,10,10,8,7,8,9,9,10,9,9,7,7,9,10,10,9,10,8,8,9,8,10,10,10,10,10
10900113111,10,10,8,10,8,9,10,10,10,10,9,9,10,10,10,10,9,9,9,10,10,10,9,10,10,9,9,9,10,10,10,10,10
10900113112,9,9,7,8,6,9,9,9,10,9,8,8,9,9,9,9,9,8,7,9,10,10,9,9,8,7,7,8,9,9,10,10,8
10900113113,4,9,5,6,5,8,9,8,9,7,6,7,9,9,8,9,7,6,7,8,8,7,10,8,7,7,6,8,8,7,9,8,7
10900113114,9,10,7,8,8,8,9,10,10,9,6,8,9,9,10,9,9,7,6,9,9,10,10,10,8,8,6,7,7,9,9,9,9
10900113115,6,8,4,8,6,8,8,9,7,5,5,6,7,9,8,8,7,6,5,7,8,8,8,6,7,6,5,6,8,8,8,8,7
10900113116,8,9,5,6,7,9,9,9,9,7,5,6,10,8,10,8,7,6,6,7,9,9,10,9,7,7,5,7,7,8,9,9,10
10900113117,9,10,7,8,6,9,9,8,10,6,6,7,10,8,9,9,7,8,8,9,9,10,10,9,7,6,6,7,8,9,10,8,7
